name	type	units
FP1	EEG	microV
AF7	EEG	microV
AF3	EEG	microV
F1	EEG	microV
F3	EEG	microV
F5	EEG	microV
F7	EEG	microV
FT7	EEG	microV
FC5	EEG	microV
FC3	EEG	microV
FC1	EEG	microV
C1	EEG	microV
C3	EEG	microV
C5	EEG	microV
T7	EEG	microV
TP7	EEG	microV
CP5	EEG	microV
CP3	EEG	microV
CP1	EEG	microV
P1	EEG	microV
P3	EEG	microV
P5	EEG	microV
P7	EEG	microV
P9	EEG	microV
PO7	EEG	microV
PO3	EEG	microV
O1	EEG	microV
LZ	EEG	microV
OZ	EEG	microV
POZ	EEG	microV
PZ	EEG	microV
CPZ	EEG	microV
FPZ	EEG	microV
FP2	EEG	microV
AF8	EEG	microV
AF4	EEG	microV
AFZ	EEG	microV
FZ	EEG	microV
F2	EEG	microV
F4	EEG	microV
F6	EEG	microV
F8	EEG	microV
FT8	EEG	microV
FC6	EEG	microV
FC4	EEG	microV
FC2	EEG	microV
FCZ	EEG	microV
CZ	EEG	microV
C2	EEG	microV
C4	EEG	microV
C6	EEG	microV
T8	EEG	microV
TP8	EEG	microV
CP6	EEG	microV
CP4	EEG	microV
CP2	EEG	microV
P2	EEG	microV
P4	EEG	microV
P6	EEG	microV
P8	EEG	microV
P10	EEG	microV
PO8	EEG	microV
PO4	EEG	microV
O2	EEG	microV
